protocol,IP_present,url_length,dots_in_url,domain_length,number_of_domains,hyphen_count_in_domain,largest_domain_length,avg_domain_length,directory_length,sub_directory_count,largest_directory_length,avg_directory_length,suspicious_TLD,file_name_length,dost_file_name,delims_file_name,argument_length,number_of_arguments,largest_arg_length,max_delims_in_args,created_days_ago,updated_days_ago,expiration_days_remain,zipcode,label
0.0,0.0,87.0,1.0,9.0,2.0,0.0,6.0,4.0,6.0,1.0,4.0,4.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,136.0,2.0,12.0,2.0,0.0,8.0,5.5,20.0,2.0,10.0,8.5,0.0,55.0,0.0,7.0,49.0,3.0,10.0,1.0,8229.0,224.0,171.0,-1.0,1.0
0.0,0.0,81.0,1.0,14.0,2.0,0.0,10.0,6.5,60.0,3.0,33.0,18.666666666666668,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3822.0,442.0,561.0,-1.0,1.0
0.0,0.0,85.0,1.0,8.0,2.0,0.0,4.0,3.5,77.0,2.0,61.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5778.0,300.0,66.0,85260.0,1.0
0.0,0.0,98.0,2.0,13.0,2.0,0.0,9.0,6.0,5.0,1.0,3.0,3.0,0.0,5.0,1.0,0.0,75.0,4.0,8.0,1.0,1850.0,24.0,342.0,85260.0,1.0
1.0,0.0,75.0,1.0,11.0,2.0,0.0,7.0,5.0,19.0,4.0,7.0,3.5,0.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0,8820.0,798.0,1043.0,902103818.0,1.0
0.0,0.0,89.0,1.0,14.0,2.0,0.0,10.0,6.5,75.0,5.0,56.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4274.0,423.0,109.0,-1.0,1.0
0.0,0.0,33.0,2.0,13.0,2.0,0.0,9.0,6.0,6.0,1.0,4.0,4.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4097.0,62.0,286.0,1017.0,0.0
0.0,0.0,103.0,2.0,10.0,2.0,0.0,6.0,4.5,6.0,1.0,4.0,4.0,0.0,9.0,1.0,0.0,78.0,9.0,8.0,0.0,983.0,239.0,113.0,1803.0,1.0
0.0,0.0,33.0,2.0,13.0,2.0,0.0,9.0,6.0,6.0,1.0,4.0,4.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4097.0,62.0,286.0,1017.0,0.0
