IP_present,url_length,dots_in_url,domain_length,number_of_domains,hyphen_count_in_domain,digits_count_in_domain,largest_domain_length,avg_domain_length,directory_length,sub_directory_count,largest_directory_length,avg_directory_length,suspicious_TLD,file_name_length,dots_file_name,delims_file_name,argument_length,number_of_arguments,largest_arg_length,max_delims_in_args,created_days_ago,updated_days_ago,expiration_days_remain,zipcode,label
0.0,50.0,3.0,15.0,3.0,0.0,0.0,7.0,4.3,23.0,2.0,12.0,10.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,595.0,7.0,117.0,-1.0,0.0
0.0,47.0,3.0,13.0,3.0,0.0,0.0,6.0,3.7,25.0,3.0,11.0,7.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.0,46.0,2.0,21.0,2.0,0.0,0.0,17.0,10.0,13.0,2.0,7.0,5.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,125.0,3.0,27.0,4200.0,1.0
0.0,11.0,1.0,10.0,2.0,0.0,0.0,6.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,16.0,15.0,-1.0,0.0
0.0,15.0,2.0,15.0,3.0,0.0,0.0,7.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,7.0,26.0,32256.0,0.0
0.0,68.0,3.0,22.0,3.0,0.0,0.0,10.0,6.7,9.0,2.0,4.0,3.0,0.0,37.0,1.0,3.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,20.0,3.0,10.0,3.0,0.0,0.0,3.0,2.7,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,473.0,15.0,14.0,-1.0,1.0
0.0,53.0,3.0,27.0,3.0,0.0,0.0,20.0,8.3,14.0,2.0,7.0,5.5,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
0.0,19.0,2.0,19.0,3.0,0.0,0.0,11.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,7.0,28.0,891043554.0,0.0
0.0,29.0,3.0,19.0,3.0,0.0,2.0,8.0,5.7,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,30.0,85260.0,1.0
